source_game,draw_date,n1,n2,n3,n4,n5,bonus
mechanical,2026-06-02,2,10,22,28,49,7
mechanical,2026-06-05,2,16,33,37,43,6
mechanical,2026-06-09,5,8,12,19,48,1
mechanical,2026-06-12,7,23,27,30,45,6
mechanical,2026-06-16,2,19,20,40,43,11
mechanical,2026-06-19,9,10,27,37,44,13
mechanical,2026-06-23,16,25,32,33,50,11
mechanical,2026-06-26,17,26,37,40,45,13
mechanical,2026-06-30,21,26,40,42,44,15
mechanical,2026-07-03,9,14,27,32,34,15
mechanical,2026-07-07,16,18,21,29,47,11
mechanical,2026-07-10,2,12,13,20,23,12
mechanical,2026-07-14,9,13,21,36,40,4
mechanical,2026-07-17,6,9,31,37,42,4
mechanical,2026-07-21,15,40,41,47,50,16
mechanical,2026-07-24,4,8,13,22,38,1
mechanical,2026-07-28,3,12,27,36,47,15
mechanical,2026-07-31,10,11,37,45,46,11
