generation,screen_tier,screen_targets,best_hash,best_fitness,best_mean_rank,best_top15,best_top20,unique_population
0,tier1_small,80,117ca5be3cbde8d5,0.24981455371232666,24.3275,0.3775,0.4725,100
1,tier1_small,80,117ca5be3cbde8d5,0.24981455371232666,24.3275,0.3775,0.4725,100
2,tier1_small,80,376f126dfd02bb01,0.2710351419476208,24.0625,0.36,0.4775,100
3,tier1_small,80,376f126dfd02bb01,0.2710351419476208,24.0625,0.36,0.4775,100
4,tier1_small,80,479f6f7017c8299a,0.27969690665350316,24.1175,0.37,0.4675,100
5,tier1_small,80,479f6f7017c8299a,0.27969690665350316,24.1175,0.37,0.4675,100
6,tier1_small,80,ca562c19fef9f099,0.291726318418209,24.085,0.3625,0.495,100
7,tier1_small,80,2c82371379f3d51c,0.3005351419476208,24.0625,0.365,0.495,100
8,tier1_small,80,50445960bdf3bdd0,0.30633661253585603,24.0375,0.3675,0.495,100
9,tier1_small,80,50445960bdf3bdd0,0.30633661253585603,24.0375,0.3675,0.495,100
10,tier2_medium,200,56e56a25b2be2e23,0.15745720077115022,24.495,0.334,0.435,100
11,tier2_medium,200,bac494d864d48acb,0.189951318418209,24.408,0.35,0.438,100
12,tier2_medium,200,c0b0c15834d74bb7,0.19052778900644446,24.298,0.356,0.446,100
13,tier2_medium,200,bce97ae935675259,0.22559249488879735,24.031,0.345,0.452,100
14,tier2_medium,200,bce97ae935675259,0.22559249488879735,24.031,0.345,0.452,100
15,tier2_medium,200,37db9db26c793353,0.2288395537123267,23.928,0.349,0.457,100
16,tier3_full,470,0162f0792ee67c5c,0.10994236973235168,24.770638297872342,0.3221276595744681,0.43446808510638296,100
17,tier3_full,470,732c1000a430546b,0.11899243231057442,24.773191489361704,0.32680851063829786,0.4353191489361702,100
18,tier3_full,470,db4f76e638321b7b,0.1228459992692729,24.802978723404255,0.33276595744680854,0.4272340425531915,100
19,tier3_full,470,8cc4b472a4880bd6,0.12650807686626908,24.78936170212766,0.33191489361702126,0.4374468085106383,100
20,tier3_full,470,ed0230fd5c1d5094,0.12844925333685742,24.791063829787234,0.3353191489361702,0.43617021276595747,100
