ID,Family,Model,ValidationTargets,VariantsInFamily,Top20Hits,Top20Winners,Top20Recall,MeanWinnerRank,Top20DeltaVsRecency,MeanRankDeltaVsRecency,ExactRandomTop20TailP,Status
E001,A/G regularized sequence-hazard,LR_hazard_core_C0.01,311,15,628,1555,0.403859,25.141479,-1,-0.246945,0.38268,INSUFFICIENT_EVIDENCE
E002,A/G regularized sequence-hazard,LR_hazard_core_C0.1,311,15,616,1555,0.396141,25.200000,-13,-0.188424,0.636749,INSUFFICIENT_EVIDENCE
E003,A/G regularized sequence-hazard,LR_hazard_core_C1.0,311,15,622,1555,0.400000,25.203215,-7,-0.185209,0.510175,INSUFFICIENT_EVIDENCE
E004,A/G regularized sequence-hazard,LR_hazard_local_C0.01,311,15,597,1555,0.383923,25.666238,-32,0.277814,0.91603,REJECTED
E005,A/G regularized sequence-hazard,LR_hazard_local_C0.1,311,15,607,1555,0.390354,25.653376,-22,0.264952,0.79865,REJECTED
E006,A/G regularized sequence-hazard,LR_hazard_local_C1.0,311,15,614,1555,0.394855,25.690675,-15,0.302251,0.676504,REJECTED
E007,A/G regularized sequence-hazard,LR_all_C0.01,311,15,604,1555,0.388424,25.625723,-25,0.237299,0.84118,REJECTED
E008,A/G regularized sequence-hazard,LR_all_C0.1,311,15,607,1555,0.390354,25.609003,-22,0.220579,0.79865,REJECTED
E009,A/G regularized sequence-hazard,LR_all_C1.0,311,15,603,1555,0.387781,25.637299,-26,0.248875,0.853946,REJECTED
E010,A/G regularized sequence-hazard,LR_sequence_lags_C0.01,311,15,623,1555,0.400643,25.183280,-6,-0.205145,0.488629,INSUFFICIENT_EVIDENCE
E011,A/G regularized sequence-hazard,LR_sequence_lags_C0.1,311,15,623,1555,0.400643,25.120900,-6,-0.267524,0.488629,INSUFFICIENT_EVIDENCE
E012,A/G regularized sequence-hazard,LR_sequence_lags_C1.0,311,15,624,1555,0.401286,25.118328,-5,-0.270096,0.467119,INSUFFICIENT_EVIDENCE
E013,A/G regularized sequence-hazard,LR_local_only_C0.01,311,15,597,1555,0.383923,25.811576,-32,0.423151,0.91603,REJECTED
E014,A/G regularized sequence-hazard,LR_local_only_C0.1,311,15,598,1555,0.384566,25.792283,-31,0.403859,0.907349,REJECTED
E015,A/G regularized sequence-hazard,LR_local_only_C1.0,311,15,602,1555,0.387138,25.800000,-27,0.411576,0.866006,REJECTED
E016,F tree-based,RF_local_d2,311,5,614,1555,0.394855,25.513183,-15,0.124759,0.676504,REJECTED
E017,F tree-based,RF_local_d4,311,5,603,1555,0.387781,25.588424,-26,0.200000,0.853946,REJECTED
E018,F tree-based,RF_local_d6,311,5,616,1555,0.396141,25.276527,-13,-0.111897,0.636749,REJECTED
E019,F tree-based,HGB_local_leaf50,311,5,601,1555,0.386495,25.789711,-28,0.401286,0.877366,REJECTED
E020,F tree-based,HGB_local_leaf150,311,5,600,1555,0.385852,25.784566,-29,0.396141,0.888034,REJECTED
E021,G Bayesian gap hazard,GapHaz_s10,311,4,643,1555,0.413505,25.139550,14,-0.248875,0.13414,INSUFFICIENT_EVIDENCE
E022,G Bayesian gap hazard,GapHaz_s30,311,4,643,1555,0.413505,25.184566,14,-0.203859,0.13414,INSUFFICIENT_EVIDENCE
E023,G Bayesian gap hazard,GapHaz_s100,311,4,645,1555,0.414791,25.158842,16,-0.229582,0.112239,INSUFFICIENT_EVIDENCE
E024,G Bayesian gap hazard,GapHaz_s300,311,4,646,1555,0.415434,25.155627,17,-0.232797,0.102304,INSUFFICIENT_EVIDENCE
E025,B lag-graph diffusion,LagGraph_s10,311,4,602,1555,0.387138,25.873955,-27,0.485531,0.866006,REJECTED
E026,B lag-graph diffusion,LagGraph_s30,311,4,599,1555,0.385209,25.871383,-30,0.482958,0.898023,REJECTED
E027,B lag-graph diffusion,LagGraph_s100,311,4,596,1555,0.383280,25.867524,-33,0.479100,0.924087,REJECTED
E028,B lag-graph diffusion,LagGraph_s300,311,4,598,1555,0.384566,25.849518,-31,0.461093,0.907349,REJECTED
E029,C slot-flow geometry,SlotFlow_s10,311,4,617,1555,0.396785,25.400643,-12,0.012219,0.616276,REJECTED
E030,C slot-flow geometry,SlotFlow_s30,311,4,622,1555,0.400000,25.399357,-7,0.010932,0.510175,REJECTED
E031,C slot-flow geometry,SlotFlow_s100,311,4,608,1555,0.390997,25.574277,-21,0.185852,0.783086,REJECTED
E032,C slot-flow geometry,SlotFlow_s300,311,4,598,1555,0.384566,25.626367,-31,0.237942,0.907349,REJECTED
E033,D cryptanalytic residue,Residue_m2_s30,311,24,614,1555,0.394855,25.877814,-15,0.489389,0.676504,REJECTED
E034,D cryptanalytic residue,Residue_m2_s100,311,24,614,1555,0.394855,25.877814,-15,0.489389,0.676504,REJECTED
E035,D cryptanalytic residue,Residue_m2_s300,311,24,614,1555,0.394855,25.877814,-15,0.489389,0.676504,REJECTED
E036,D cryptanalytic residue,Residue_m3_s30,311,24,614,1555,0.394855,25.493891,-15,0.105466,0.676504,INSUFFICIENT_EVIDENCE
E037,D cryptanalytic residue,Residue_m3_s100,311,24,614,1555,0.394855,25.493891,-15,0.105466,0.676504,INSUFFICIENT_EVIDENCE
E038,D cryptanalytic residue,Residue_m3_s300,311,24,614,1555,0.394855,25.474598,-15,0.086174,0.676504,INSUFFICIENT_EVIDENCE
E039,D cryptanalytic residue,Residue_m4_s30,311,24,617,1555,0.396785,25.410932,-12,0.022508,0.616276,REJECTED
E040,D cryptanalytic residue,Residue_m4_s100,311,24,617,1555,0.396785,25.410932,-12,0.022508,0.616276,REJECTED
E041,D cryptanalytic residue,Residue_m4_s300,311,24,617,1555,0.396785,25.410932,-12,0.022508,0.616276,REJECTED
E042,D cryptanalytic residue,Residue_m5_s30,311,24,634,1555,0.407717,25.390997,5,0.002572,0.266937,REJECTED
E043,D cryptanalytic residue,Residue_m5_s100,311,24,634,1555,0.407717,25.390997,5,0.002572,0.266937,REJECTED
E044,D cryptanalytic residue,Residue_m5_s300,311,24,634,1555,0.407717,25.390997,5,0.002572,0.266937,REJECTED
E045,D cryptanalytic residue,Residue_m6_s30,311,24,605,1555,0.389068,25.919614,-24,0.531190,0.827706,REJECTED
E046,D cryptanalytic residue,Residue_m6_s100,311,24,605,1555,0.389068,25.919614,-24,0.531190,0.827706,REJECTED
E047,D cryptanalytic residue,Residue_m6_s300,311,24,605,1555,0.389068,25.945981,-24,0.557556,0.827706,REJECTED
E048,D cryptanalytic residue,Residue_m7_s30,311,24,609,1555,0.391640,25.600643,-20,0.212219,0.766851,REJECTED
E049,D cryptanalytic residue,Residue_m7_s100,311,24,609,1555,0.391640,25.600643,-20,0.212219,0.766851,REJECTED
